objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll011,10.jpg,,,Flower agate,"Holloway, Hayley",2021-10-24,"Form: carving (obelisk); Color: pink, white; Chakra: heart, root; Zodiac: Virgo; Planet: Venus",Growth; Manifestation,Baltimore [7013352],,,,10,Image;StillImage,image/jpeg,eng,CC BY,http://rightsstatements.org/vocab/NoC-US/1.0/
coll012,11.jpg,,,Green opal,"Holloway, Hayley",2021-10-24,"Form: raw; Color: green; Chakra: higher heart; Zodiac: Aries, Sagittarius",Nourishment; Emotional healing,Baltimore [7013352],,,,11,Image;StillImage,image/jpeg,eng,CC BY,http://rightsstatements.org/vocab/NoC-US/1.0/
coll013,12.jpg,,,Labradorite,"Holloway, Hayley",2021-10-24,"Form: freeform (polished); Color: blue, green, black, yellow; Chakra: third eye, crown, higher crown, soma; Zodiac: Leo, Scorpio, Sagittarius",Spirituality; Magick,Baltimore [7013352],,,,12,Image;StillImage,image/jpeg,eng,CC BY,http://rightsstatements.org/vocab/NoC-US/1.0/
coll014,13.jpg,,,Lapis lazuli,"Holloway, Hayley",2021-10-24,"Form: raw; Color: blue, gray, black; Chakra: throat, third eye; Zodiac: Sagittarius; Planet: Venus",Inner truth; Intuition; Manifestation; Magick,Baltimore [7013352],,,,13,Image;StillImage,image/jpeg,eng,CC BY,http://rightsstatements.org/vocab/NoC-US/1.0/
coll015,14.jpg,,,Mahogany obsidian,"Holloway, Hayley",2021-10-24,"Form; carving (obelisk); Color: maroon, black; Chakra: third eye, soma, past life; Zodiac: Leo",Grounding; Protection; Healing,Baltimore [7013352],,,,14,Image;StillImage,image/jpeg,eng,CC BY,http://rightsstatements.org/vocab/NoC-US/1.0/
coll016,15.jpg,,,Malachite,"Holloway, Hayley",2021-10-24,"Form: carving (egg); Color: green; Chakra: heart, solar plexus, base, sacral; Zodiac: Scorpio, Capricorn; Planet: Venus",Calming; Wisdon; Transformation; Healing,Baltimore [7013352],,,,15,Image;StillImage,image/jpeg,eng,CC BY,http://rightsstatements.org/vocab/NoC-US/1.0/
coll017,16.jpg,,,Rainbow fluorite,"Holloway, Hayley",2021-10-24,"Form: carving (double point); Color: purple, green, brown; Chakra: all; Zodiac: Capricorn, Pisces; Planet: Mercury",Calming; Cleansing,Baltimore [7013352],,,,16,Image;StillImage,image/jpeg,eng,CC BY,http://rightsstatements.org/vocab/NoC-US/1.0/
coll018,17.jpg,,,Rhodonite,"Holloway, Hayley",2021-10-24,"Form: carving (palm stone); Color: pink, black; Chakra: heart, higher heart, solar plexus, base; Zodiac: Leo, Scorpio; Planet: Mars",Comforting; Psychic abilities,Baltimore [7013352],,,,17,Image;StillImage,image/jpeg,eng,CC BY,http://rightsstatements.org/vocab/NoC-US/1.0/
coll019,18.jpg,,,Selenite,"Holloway, Hayley",2021-10-24,Form: freeform (raw); Color: white; Chakra: higher crown; Zodiac: Taurus; Planet: Moon,Calming; Clarity; Cleansing,Baltimore [7013352],,,,18,Image;StillImage,image/jpeg,eng,CC BY,http://rightsstatements.org/vocab/NoC-US/1.0/
coll020,19.jpg,,,Smoky quartz,"Holloway, Hayley",2021-10-24,"Form: raw; Color: clear, brown; Chakra: base, Earth; Zodiac: Scorpio, Sagittarius, Capricorn; Planet: Pluto",Grounding; Focus; Calming,Baltimore [7013352],,,,19,Image;StillImage,image/jpeg,eng,CC BY,http://rightsstatements.org/vocab/NoC-US/1.0/
coll021,20.jpg,,,Soapstone,"Holloway, Hayley",2021-10-24,"Form: carving (lobster); Color: cream; Chakra: heart, crown, root; Zodiac: Sagittarius",Soothing; Balancing; Calming,Baltimore [7013352],,,,20,Image;StillImage,image/jpeg,eng,CC BY,http://rightsstatements.org/vocab/NoC-US/1.0/
